month,count,tokens
2019-11-01,704,521.883522727273
2019-12-01,580,535.479310344828
2020-01-01,1100,457.344545454545
2020-02-01,1042,468.45009596929
2020-03-01,1099,497.547770700637
2020-04-01,1050,498.32380952381
2020-05-01,985,495.278172588832
2020-06-01,1062,501.290960451977
2020-07-01,1192,496.668624161074
2020-08-01,1022,517.211350293542
2020-09-01,1148,498.890243902439
2020-10-01,1216,501.518914473684
2020-11-01,1155,533.060606060606
2020-12-01,1059,551.23701605288
